+-------+-----+-----+-----+-----+-----+--------+----------------------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+------------+------------+------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |               URI                |  MIN  |  MAX  |  SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  | SUM(BODY)  | AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+----------------------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+------------+------------+------------+
|   325 |   0 |  28 |   0 |   0 | 297 | GET    | /api/train/seats                 | 0.050 | 2.230 | 64.357 | 0.198 | 0.150 | 0.060 | 0.220 |  0.245 |    290.000 |   9431.000 | 286521.000 |    881.603 |
|    86 |   0 |  28 |   0 |  58 |   0 | POST   | /api/train/reserve               | 0.050 | 0.920 | 28.960 | 0.337 | 0.060 | 0.200 | 0.050 |  0.221 |     48.000 |    319.000 |  10894.000 |    126.674 |
|    53 |   0 |  52 |   0 |   1 |   0 | POST   | /api/auth/login                  | 0.010 | 0.540 |  4.120 | 0.078 | 0.040 | 0.070 | 0.020 |  0.079 |     34.000 |     52.000 |   1820.000 |     34.340 |
|    52 |   0 |  52 |   0 |   0 |   0 | POST   | /api/auth/signup                 | 0.010 | 0.230 |  3.790 | 0.073 | 0.050 | 0.060 | 0.020 |  0.039 |     53.000 |     53.000 |   2756.000 |     53.000 |
|    39 |   0 |  39 |   0 |   0 |   0 | GET    | /api/user/reservations           | 0.010 | 0.520 |  3.680 | 0.094 | 0.030 | 0.080 | 0.090 |  0.081 |      3.000 |    461.000 |  14402.000 |    369.282 |
|    34 |   0 |  33 |   0 |   1 |   0 | GET    | /api/train/search                | 0.280 | 2.140 | 20.848 | 0.613 | 0.690 | 0.530 | 0.500 |  0.309 |     85.000 |   4811.000 | 148366.000 |   4363.706 |
|    27 |   0 |  27 |   0 |   0 |   0 | GET    | /api/stations                    | 0.010 | 0.340 |  2.010 | 0.074 | 0.040 | 0.050 | 0.090 |  0.058 |   8952.000 |   8952.000 | 241704.000 |   8952.000 |
|    16 |   0 |  16 |   0 |   0 |   0 | POST   | /api/train/reservation/commit    | 0.040 | 0.320 |  1.719 | 0.107 | 0.040 | 0.070 | 0.080 |  0.068 |     15.000 |     15.000 |    240.000 |     15.000 |
|    16 |   0 |  16 |   0 |   0 |   0 | POST   | /card                            | 0.000 | 0.020 |  0.080 | 0.005 | 0.000 | 0.010 | 0.010 |  0.006 |     66.000 |     66.000 |   1056.000 |     66.000 |
|    16 |   0 |  16 |   0 |   0 |   0 | POST   | /api/auth/logout                 | 0.010 | 0.180 |  1.280 | 0.080 | 0.010 | 0.050 | 0.090 |  0.049 |     34.000 |     34.000 |    544.000 |     34.000 |
|     4 |   0 |   3 |   0 |   1 |   0 | GET    | /api/user/reservations/25        | 0.060 | 0.110 |  0.320 | 0.080 | 0.070 | 0.060 | 0.080 |  0.019 |     52.000 |    448.000 |   1370.000 |    342.500 |
|     4 |   0 |   3 |   0 |   1 |   0 | GET    | /api/user/reservations/15        | 0.060 | 0.070 |  0.270 | 0.068 | 0.070 | 0.070 | 0.070 |  0.004 |     52.000 |    454.000 |   1388.000 |    347.000 |
|     4 |   0 |   3 |   0 |   1 |   0 | GET    | /api/user/reservations/20        | 0.060 | 0.070 |  0.260 | 0.065 | 0.070 | 0.070 | 0.060 |  0.005 |     52.000 |    454.000 |   1388.000 |    347.000 |
|     4 |   0 |   3 |   0 |   1 |   0 | GET    | /api/user/reservations/1         | 0.010 | 0.020 |  0.060 | 0.015 | 0.020 | 0.020 | 0.010 |  0.005 |     52.000 |    414.000 |   1294.000 |    323.500 |
|     4 |   0 |   3 |   0 |   1 |   0 | GET    | /api/user/reservations/10        | 0.090 | 0.320 |  0.620 | 0.155 | 0.090 | 0.110 | 0.100 |  0.096 |     52.000 |    442.000 |   1352.000 |    338.000 |
|     4 |   0 |   3 |   0 |   1 |   0 | GET    | /api/user/reservations/5         | 0.070 | 0.080 |  0.300 | 0.075 | 0.080 | 0.070 | 0.080 |  0.005 |     52.000 |    439.000 |   1343.000 |    335.750 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/user/reservations/24        | 0.060 | 0.070 |  0.200 | 0.067 | 0.070 | 0.070 | 0.070 |  0.005 |    439.000 |    452.000 |   1330.000 |    443.333 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/user/reservations/14        | 0.070 | 0.070 |  0.210 | 0.070 | 0.070 | 0.070 | 0.070 |  0.000 |    446.000 |    459.000 |   1351.000 |    450.333 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/user/reservations/9         | 0.160 | 0.450 |  0.800 | 0.267 | 0.190 | 0.190 | 0.450 |  0.130 |    438.000 |    451.000 |   1327.000 |    442.333 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/user/reservations/4         | 0.070 | 0.090 |  0.230 | 0.077 | 0.090 | 0.090 | 0.070 |  0.009 |    431.000 |    444.000 |   1306.000 |    435.333 |
|     3 |   0 |   3 |   0 |   0 |   0 | GET    | /api/user/reservations/19        | 0.070 | 0.100 |  0.250 | 0.083 | 0.070 | 0.070 | 0.080 |  0.012 |    427.000 |    440.000 |   1294.000 |    431.333 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/user/reservations/13        | 0.060 | 0.080 |  0.140 | 0.070 | 0.080 | 0.080 | 0.080 |  0.010 |    413.000 |    413.000 |    826.000 |    413.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/user/reservations/2         | 0.010 | 0.030 |  0.040 | 0.020 | 0.030 | 0.030 | 0.030 |  0.010 |    411.000 |    411.000 |    822.000 |    411.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/user/reservations/28        | 0.010 | 0.020 |  0.030 | 0.015 | 0.020 | 0.020 | 0.020 |  0.005 |    413.000 |    413.000 |    826.000 |    413.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/user/reservations/6         | 0.080 | 0.080 |  0.160 | 0.080 | 0.080 | 0.080 | 0.080 |  0.000 |    442.000 |    442.000 |    884.000 |    442.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/user/reservations/26        | 0.070 | 0.070 |  0.140 | 0.070 | 0.070 | 0.070 | 0.070 |  0.000 |    433.000 |    433.000 |    866.000 |    433.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/user/reservations/23        | 0.070 | 0.080 |  0.150 | 0.075 | 0.080 | 0.080 | 0.080 |  0.005 |    413.000 |    413.000 |    826.000 |    413.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/user/reservations/8         | 0.060 | 0.070 |  0.130 | 0.065 | 0.070 | 0.070 | 0.070 |  0.005 |    412.000 |    412.000 |    824.000 |    412.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/user/reservations/21        | 0.060 | 0.070 |  0.130 | 0.065 | 0.070 | 0.070 | 0.070 |  0.005 |    432.000 |    432.000 |    864.000 |    432.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/user/reservations/18        | 0.070 | 0.080 |  0.150 | 0.075 | 0.080 | 0.080 | 0.080 |  0.005 |    413.000 |    413.000 |    826.000 |    413.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | POST   | /initialize                      | 0.360 | 4.950 |  5.310 | 2.655 | 4.950 | 4.950 | 4.950 |  2.295 |     14.000 |     42.000 |     56.000 |     28.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/user/reservations/11        | 0.250 | 0.410 |  0.660 | 0.330 | 0.250 | 0.250 | 0.250 |  0.080 |    439.000 |    439.000 |    878.000 |    439.000 |
|     2 |   0 |   2 |   0 |   0 |   0 | GET    | /api/user/reservations/16        | 0.080 | 0.080 |  0.160 | 0.080 | 0.080 | 0.080 | 0.080 |  0.000 |    433.000 |    433.000 |    866.000 |    433.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | POST   | /api/user/reservations/16/cancel | 0.070 | 0.070 |  0.070 | 0.070 | 0.070 | 0.070 | 0.070 |  0.000 |     52.000 |     52.000 |     52.000 |     52.000 |
